Shipment Month,Matching Fields,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Shipper Name (Chinese Format),Shipper Address (Chinese Format),Shipper Address (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipment Destination,Province,Country of Sale,Transport Method,Is Containerized,Value of Goods (USD),HS Code,HS Code Description,HS Code Keywords,Trade Direction,Admin Region,Trade Type
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,851.0,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",12 PCS SET COOKER;  18 PCS KITCHENWARE;  3PCS BBQ SET;  6 PIECES BAR TOOL SUIT;  8 PIECES BAR TOOL SUIT;  AD CUPS;  ADVANCED ROUND FIRE POT STOVE;  ADVERTISEMENT GIFT CUP;  AIR BOTTLE PLATFORM;  AIR-TIGHT JARS;  ALCOHOL STOVE STAND;  ALL STAINLESS STEEL V,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,6787.0,761290,"Aluminium; casks, drums, cans, boxes and the like for any material (not compressed or liquefied gas), 300l capacity or less, whether or not lined or heat-insulated, no mechanical or thermal equipment",ALUMINIUM ALLOY CAGE;  ALUMINIUM EASY-UNCAP TWO-PIECE CAN;  ALUMINIUM ZIP-TOP CAN;  ALUMINIUM ZIP-TOP CAN BODY;  ARTISTIC TIN;  BEVERAGE CAN;  BIG-OPENING EASY-UNCAP ALUMINUM CAN;  CANISTER PACKAGING;  COLOR PRINTED CAN;  FLASKS;  FOOD AND BEVERAGE BOTTLE,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,530.0,392350,"Plastics; stoppers, lids, caps and other closures, for the conveyance or packing of goods",ABS PLASTICS BOTTLE CAP;  ABS XISU;  ACRYLIC BOTTLE CAP;  ACRYLIC PERFUME BOTTLE CAP;  AEROFLOAT BOTTLE CAP;  AEROSOL PREPARATION GLUE COVER;  AEROSOL PREPARATION PLASTIC CAP;  AGRICULTURAL CHEMICALS BOTTLE CAP;  ALUMINIUM AND PLASTIC COMPOUND COVER;  ALU,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,25160.0,392410,Plastics; tableware and kitchenware,250 MILLILITER SPORTS KETTLE;  300 MILLILITER SPORTS KETTLE;  ABSORBENT PAPER CUP PAD;  ACRYLIC CASTOR;  ACRYLIC CASTOR TRAY;  ACRYLIC CUP;  ACRYLIC CUTTING BOARD;  ACRYLIC DRAUGHT BEER POT;  ACRYLIC FRUIT BOWL;  ACRYLIC FRUIT DISH;  ACRYLIC FRUIT PLATE; ,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,109008.0,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",12 PCS SET COOKER;  18 PCS KITCHENWARE;  3PCS BBQ SET;  6 PIECES BAR TOOL SUIT;  8 PIECES BAR TOOL SUIT;  AD CUPS;  ADVANCED ROUND FIRE POT STOVE;  ADVERTISEMENT GIFT CUP;  AIR BOTTLE PLATFORM;  AIR-TIGHT JARS;  ALCOHOL STOVE STAND;  ALL STAINLESS STEEL V,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,12210.0,761290,"Aluminium; casks, drums, cans, boxes and the like for any material (not compressed or liquefied gas), 300l capacity or less, whether or not lined or heat-insulated, no mechanical or thermal equipment",ALUMINIUM ALLOY CAGE;  ALUMINIUM EASY-UNCAP TWO-PIECE CAN;  ALUMINIUM ZIP-TOP CAN;  ALUMINIUM ZIP-TOP CAN BODY;  ARTISTIC TIN;  BEVERAGE CAN;  BIG-OPENING EASY-UNCAP ALUMINUM CAN;  CANISTER PACKAGING;  COLOR PRINTED CAN;  FLASKS;  FOOD AND BEVERAGE BOTTLE,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Italy,Zhejiang Province,Italy,River-Sea Transportation,Yes,86004.0,961700,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",ACRYLIC INSULATION CAN;  AIR POT BOTTLE;  AIR PRESSURE BOTTLE WITH IRON CASE;  AIR PRESSURE BOTTLE WITH PLASTIC CASE;  AIR PRESSURE BOTTLE WITH STAINLESS STEEL CASE;  ALL STAINLESS STEEL VACUUM BOTTLES;  ALL-PLASTIC VACUUM FLASK;  ATMOSPHERIC PRESSURE VAC,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Netherlands,Zhejiang Province,Netherlands,River-Sea Transportation,Yes,7200.0,701337,"Glassware; drinking glasses (not stemware), other than of lead crystal or glass-ceramics",AD CUPS;  ADVERTISEMENT GLASS GOBLET;  ADVERTISING CUP;  AIR CUP;  ALL CLEAR CHAMPAGNE GLASS;  ALL CLEAR MARTINI GLASS;  ALL CLEAR RED WINE GLASS;  ALL CLEAR WHITE WINE GLASS;  APPLIQUE GLASS CUP;  APPLIQUE HEAT RESISTING GLASS TEA SET;  ARCHAIZED WINE GO,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Netherlands,Zhejiang Province,Netherlands,River-Sea Transportation,Yes,26311.0,961700,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",ACRYLIC INSULATION CAN;  AIR POT BOTTLE;  AIR PRESSURE BOTTLE WITH IRON CASE;  AIR PRESSURE BOTTLE WITH PLASTIC CASE;  AIR PRESSURE BOTTLE WITH STAINLESS STEEL CASE;  ALL STAINLESS STEEL VACUUM BOTTLES;  ALL-PLASTIC VACUUM FLASK;  ATMOSPHERIC PRESSURE VAC,Export,"Hangzhou City,Zhejiang",Ordinary Trade
2017-12-01,Company address; Company name; Company original address,"Hangzhou Everich Houseware Co., Ltd.","Jiefang Road, Shangcheng, Hangzhou, Zhejiang, China, 310000",sales@everich.cn,+86 571 8792 3688,everich.cn,https://panjiva.com/Hangzhou-Everich-Houseware-Co-Ltd/4923442,Logistics,杭州同富日用品有限公司,杭州市解放路138号航天通信大厦12楼,"12/F.,Aerocom Mansion,138 Jiefang Road,Hangzhou,Zhejiang 310009,China",,,,,,,Brazil,Zhejiang Province,Brazil,River-Sea Transportation,Yes,21874.0,392410,Plastics; tableware and kitchenware,250 MILLILITER SPORTS KETTLE;  300 MILLILITER SPORTS KETTLE;  ABSORBENT PAPER CUP PAD;  ACRYLIC CASTOR;  ACRYLIC CASTOR TRAY;  ACRYLIC CUP;  ACRYLIC CUTTING BOARD;  ACRYLIC DRAUGHT BEER POT;  ACRYLIC FRUIT BOWL;  ACRYLIC FRUIT DISH;  ACRYLIC FRUIT PLATE; ,Export,"Hangzhou City,Zhejiang",Ordinary Trade
