Arrival Date,Consignee,Consignee Address,Consignee City,Consignee State/Region,Consignee Postal Code,Consignee Country,Consignee Full Address,Consignee Email 1,Consignee Email 2,Consignee Email 3,Consignee Phone 1,Consignee Phone 2,Consignee Phone 3,Consignee Fax,Consignee Website 1,Consignee Website 2,Consignee Profile,Consignee D-U-N-S®,Consignee Industry,Consignee Revenue,Consignee Employees,Consignee Market Capitalization,Consignee Trade Roles,Consignee SIC Codes,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Trade Roles,Shipper SIC Codes,Shipment Destination,Shipment Destination Region,Quantity,Weight (kg),Value of Goods (USD),Number of Containers,HS Code,Goods Shipped
2019-05-09,Wyld Gear Llc,302 South David Street,Casper,Wyoming,82601,United States,"302 S David St, Casper, WY 82601, USA",,,,+1 307 267 1878,+1 307 577 1200,,,,,https://panjiva.com/Wyld-Gear-Llc/43981007,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Port of Oakland, Oakland, California",Pacific Region,639 PKG,7340.0,"",1,"",VACUUM CUP
2019-05-07,Base Brands Llc,887 West Marietta Street Northwest,Atlanta,Georgia,30318,United States,"887 West Marietta Street Northwest, Atlanta, GA 30318, USA",emandrew@basebrands.com,,,+1 678 395 7513,,,,,,https://panjiva.com/Base-Brands-Llc/1912036,,Containers and Packaging,395063,4,,"","5719, 7311",Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","Port of Long Beach, Long Beach, California",Pacific Region,1430 CTN,14041.0,"",1,7323.93,"DW FLASK
STAINLESS DW CUP"
2019-05-07,Epoca International Inc.,,Mobile,Alabama,,United States,"USA, Mobile, AL, USA",,,,+1 561 353 3900,+1 561 353 3939,,,,,https://panjiva.com/Epoca-International-Inc/25888892,,,,,,"","",Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","Dallas/Fort Worth International Airport, Dallas/Ft. Worth Airport, Texas",Southwest Region,167 CTN,384.0,"",1,8215.99,STAINLESS STEEL DRINK STRAWS
2019-05-03,Base Brands Llc,887 West Marietta Street Northwest,Atlanta,Georgia,30318,United States,"887 West Marietta Street Northwest, Atlanta, GA 30318, USA",emandrew@basebrands.com,,,+1 678 395 7513,,,,,,https://panjiva.com/Base-Brands-Llc/1912036,,Containers and Packaging,395063,4,,"","5719, 7311",Everich And Tomic Housewares Co. Lt,9 Jiu Sheng Lu,Hangzhou Shi,Zhejiang Sheng,,China,"9 Jiu Sheng Lu, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",,,,+86 571 8792 2372,+86 158 6819 2680,+86 571 8792 3661,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co-Lt/46304150,,,,,,"","","The Port of Los Angeles, Los Angeles, California",Pacific Region,654 CTN,3675.0,"",1,3924.10,"DW FLASK
DW CUP"
2019-05-01,Snowfox,1048 Irvine Avenue,Newport Beach,California,92660,United States,"1048 Irvine Ave, Newport Beach, CA 92660, USA",,,,,,,,,,https://panjiva.com/Snowfox/47905094,,,,,,"","",Everich And Tomic Housewares Co.,298 Fuchun Road,Hangzhou Shi,Zhejiang Sheng,310020,China,"298 Fuchun Rd, Xin Cheng Shang Quan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310020",,,,,,,,,,https://panjiva.com/Everich-And-Tomic-Housewares-Co/63413768,,,,,,"","","The Port of Los Angeles, Los Angeles, California",Pacific Region,153 CTN,1071.0,"",1,"","VACUUM CUP
."
2019-04-26,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12895.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  1791120788
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAILFALLON EVERICH.CN"
2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","The Port of Los Angeles, Los Angeles, California",Pacific Region,168 CTN,949.0,"",1,"",VACUUM CUP
2019-04-19,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,100 PCS,15268.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  1791120787
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM
 EMAILFALLON EVERICH.CN"
2019-04-19,Costco Wholesale,999 Lake Drive,Issaquah,Washington,98027,United States,"999 Lake Drive, Issaquah, WA 98027, USA",exports@costco.com,,,+1 425 313 8100,,,+1 425 313 8103,costco.com,,https://panjiva.com/Costco-Wholesale/1824647,103391843,Food and Staples Retailing,129025000000.0,194000,107431955167.0,"",5399,Ups Scs China Ltd. Shanghai Br Anch,,Quzhou,Zhejiang,,China,"Quzhou, Zhejiang, China",,,,+86 57187923,+86 571 8792 3688,+86 571 879 2368,,,,https://panjiva.com/Ups-Scs-China-Ltd-Shanghai-Br-Anch/48273758,,,,,,"Manufacturer, Logistics","","Port of Oakland, Oakland, California",Pacific Region,86 PCS,12915.0,"",1,7323.93,"VACUUM FLASK
HTS CODE 732393
PO  5841120621
S/C 18-7122
SEAWAY BILL
AMS PREPAID
IF APPLICABLE CPSIA URL WWW.COSTCOC
PSIA.COM  EMAILFALLON EVERICH.CN"
2019-04-18,Urt Clothing,333 Dahlia Avenue,Imperial Beach,California,91932,United States,"333 Dahlia Ave, Imperial Beach, CA 91932, USA",,,,,,,,,,https://panjiva.com/Urt-Clothing/46494118,,,,,,"","",Everich Commerce Group Ltd.,8 Xin Ye Lu,Hangzhou Shi,Zhejiang Sheng,310016,China,"8 Xin Ye Lu, XinCheng ShangQuan, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China, 310016",emshipping@everich.cn,,,+86 571 6993 6011,+86 571 8529 0114,+86 571 8792 3688,,,,https://panjiva.com/Everich-Commerce-Group-Ltd/46261616,,,,,,"","","Service Port-St. Louis, St. Louis, Missouri",North Central Region,42 CTN,454.0,"",1,9617.00,VACUUM FLASK
